iter	RMSE
147	1.404934117
148	1.397476996
149	1.394695558
150	1.377447305
151	1.371106687
152	1.369646189
153	1.36550999
154	1.359243048
155	1.358060071
156	1.350544522
157	1.345181291
158	1.341847197
159	1.335110188
160	1.329545957
161	1.320544678
162	1.314071879
163	1.309136604
164	1.300387139
165	1.294288981
166	1.287291327
167	1.286295291
168	1.274629001
169	1.267780035
170	1.261441082
171	1.25845492
172	1.253669584
173	1.246817334
174	1.242225871
175	1.240020355
176	1.233291453
177	1.22887689
178	1.225201302
179	1.221321137
180	1.216951234
181	1.215531256
182	1.214273451
183	1.209343896
184	1.206217525
185	1.201744593
186	1.189366239
187	1.184440433
188	1.181156913
189	1.176783331
190	1.175398954
191	1.168794738
192	1.164939806
193	1.163935177
194	1.158681573
195	1.154659065
196	1.151991553
197	1.149234684
198	1.147723819
199	1.143491629
200	1.14044281
201	1.134309412
202	1.130500412
203	1.126800761
204	1.122587659
205	1.121089778
206	1.119817703
207	1.114422513
208	1.108520147
209	1.107284255
210	1.102576888
211	1.098818963
212	1.093864247
213	1.093430084
214	1.092818751
215	1.091124909
216	1.085019428
217	1.081839679
218	1.080292717
219	1.074932061
220	1.074416972
221	1.074099774
222	1.06869882
223	1.067907394
224	1.06490321
225	1.063097447
226	1.061547313
227	1.04842523
228	1.04619539
229	1.045536996
230	1.043663902
231	1.042730679
232	1.039330619
233	1.034967331
234	1.034439109
235	1.024564228
236	1.018711064
237	1.017281613
238	1.014937505
239	1.013297742
240	1.012180819
241	1.008972162
242	1.008582777
243	1.000294313
244	0.9977866648
245	0.9958572937
246	0.992634635
247	0.9894156635
248	0.9891368847
249	0.98617547
250	0.9845986887
251	0.9818243223
252	0.9768222773
253	0.975521941
254	0.9753750183
255	0.974907929
256	0.963288302
257	0.9619321309
258	0.959805143
259	0.9593274522
260	0.9588326315
261	0.9581238286
262	0.9551331343
263	0.9536611941
264	0.9529200145
265	0.9519214299
266	0.9509105072
267	0.9463818891
268	0.9440867494
269	0.9416864721
270	0.9393355314
271	0.9332687652
272	0.9307074929
273	0.9302894188
274	0.9300383317
275	0.9282664838
276	0.9260258802
277	0.9188425248
278	0.9175549421
279	0.9126504864
280	0.9097767075
281	0.8998840094
282	0.8980023443
283	0.8970637609
284	0.8954053318
285	0.89513237
286	0.8939564872
287	0.8926885808
288	0.8896630264
289	0.8856372087
290	0.8807498358
291	0.8779355617
292	0.8764980951
293	0.8757292204
294	0.8743489389
295	0.8715640216
296	0.8676265245
297	0.865857433
298	0.8634400322
299	0.8625357915
300	0.8604187272
301	0.8600908777
302	0.8580708151
303	0.8570974049
304	0.8560736947
305	0.8546734503
306	0.8536858303
307	0.8527629007
308	0.8524727337
309	0.8491077048
310	0.8400141991
311	0.8340026968
312	0.8322236239
313	0.830191406
314	0.8300262188
315	0.8268995484
316	0.8256756409
317	0.8249326815
318	0.8233437533
319	0.821521119
320	0.8204222184
321	0.8194830031
322	0.8171336881
323	0.8143318143
324	0.8140619469
325	0.8138553578
326	0.8135369777
327	0.8084806842
328	0.8048935928
329	0.8030173793
330	0.8008798625
331	0.7994115964
332	0.7975835965
333	0.7952051908
334	0.7929055924
335	0.7903230813
336	0.7900941095
337	0.7884929123
338	0.7864939643
339	0.7859326024
340	0.784982359
341	0.7842009156
342	0.7819190158
343	0.7810076129
344	0.780751977
345	0.7790790549
346	0.7777944095
347	0.7760256526
348	0.7742946491
349	0.7738728567
350	0.7722057082
351	0.7709854764
352	0.7686231209
353	0.7669895853
354	0.7652825748
355	0.7644810639
356	0.7637240379
357	0.7630433227
358	0.7621981095
359	0.7618021713
360	0.761039196
361	0.7578415047
362	0.7576487443
363	0.7565242693
364	0.7556491715
365	0.7507405496
366	0.7478678471
367	0.7472092523
368	0.7465987786
369	0.7456580858
370	0.7437413566
371	0.7435382963
372	0.742778234
373	0.7412928702
374	0.7401627729
375	0.7390148498
376	0.736523522
377	0.7353044566
378	0.7318202034
379	0.7308023982
380	0.7296706893
381	0.7270600031
382	0.7258706946
383	0.7245657145
384	0.722526723
385	0.7214959854
386	0.7193454612
387	0.7180666787
388	0.7179433041
389	0.7176788172
390	0.7171500295
391	0.7158529404
392	0.7155148594
393	0.7153193484
394	0.7102634975
395	0.7097074983
396	0.7075764479
397	0.7071016372
398	0.7057882708
399	0.7050572449
400	0.7019069722
401	0.7001627387
402	0.6989066661
403	0.6974189292
404	0.6964568354
405	0.6951324966
406	0.6937904445
407	0.6918216207
408	0.6912605155
409	0.6897301224
410	0.6887409724
411	0.687954132
412	0.6878244668
413	0.6866401957
414	0.683605692
415	0.6827177657
416	0.6800740295
417	0.675490862
418	0.6745801322
419	0.672756765
420	0.6708875152
421	0.6700447826
422	0.6682767666
423	0.667323632
424	0.6659601037
425	0.6649036023
426	0.6637268508
427	0.6627914411
428	0.6620450421
429	0.6613752655
430	0.6610265514
431	0.6609130517
432	0.65987872
433	0.6595756826
434	0.6589350518
435	0.657348281
436	0.6568182851
437	0.6553553806
438	0.6549049635
439	0.6535975202
440	0.6512462611
441	0.650973553
442	0.6493226528
443	0.6492768094
444	0.646528582
445	0.6464076196
446	0.6455874879
447	0.6441293218
448	0.6435437611
449	0.6426932529
450	0.6425722202
451	0.6415128079
452	0.6410014404
453	0.6408759108
454	0.6401179123
455	0.6393289121
456	0.6388789132
457	0.6360474971
458	0.6356192745
459	0.633293407
460	0.6308946973
461	0.6305543377
462	0.6293532828
463	0.6282238988
464	0.6239428645
465	0.6238115795
466	0.6236711559
467	0.6226316661
468	0.6219082084
469	0.6216669226
470	0.6205757076
471	0.6204468501
472	0.6187498229
473	0.6179121055
474	0.6176094039
475	0.6155568376
476	0.6116383902
477	0.609049559
478	0.6067187754
479	0.6057479429
480	0.6044917848
481	0.6041756728
482	0.6034568249
483	0.6024176786
484	0.600055335
485	0.5984695513
486	0.5961698254
487	0.5960473564
488	0.5946288036
489	0.5933641893
490	0.5923520814
491	0.5911619312
492	0.5894134103
493	0.5881049708
494	0.5867941701
495	0.5847799649
496	0.5844011849
497	0.5838874326
498	0.5832423092
499	0.5792693162
