iter	Passed	Remaining
401	17639	4300
402	17678	4255
403	17719	4210
404	17758	4165
405	17797	4120
406	17837	4075
407	17878	4031
408	17924	3988
409	17959	3942
410	17981	3893
411	18024	3849
412	18070	3806
413	18112	3762
414	18158	3719
415	18203	3675
416	18238	3630
417	18270	3584
418	18309	3539
419	18356	3496
420	18399	3452
421	18470	3413
422	18524	3372
423	18574	3329
424	18609	3284
425	18651	3239
426	18695	3196
427	18745	3153
428	18796	3110
429	18840	3067
430	18892	3024
431	18948	2982
432	18988	2938
433	19032	2894
434	19079	2850
435	19120	2806
436	19175	2764
437	19223	2721
438	19264	2676
439	19292	2630
440	19328	2585
441	19355	2539
442	19402	2496
443	19445	2452
444	19487	2408
445	19534	2365
446	19578	2321
447	19617	2277
448	19662	2233
449	19702	2189
450	19739	2144
451	19783	2100
452	19829	2057
453	19874	2013
454	19930	1971
455	19981	1928
456	20030	1884
457	20076	1841
458	20117	1796
459	20160	1753
460	20199	1708
461	20252	1665
462	20284	1621
463	20332	1577
464	20373	1533
465	20423	1490
466	20445	1444
467	20493	1401
468	20525	1356
469	20564	1312
470	20612	1269
471	20662	1225
472	20701	1181
473	20764	1138
474	20809	1095
475	20851	1051
476	20882	1006
477	20926	963
478	20978	919
479	21025	876
480	21071	832
481	21127	788
482	21171	745
483	21211	701
484	21264	657
485	21311	613
486	21365	570
487	21405	526
488	21447	482
489	21502	438
490	21547	394
491	21589	351
492	21632	307
493	21667	263
494	21712	219
495	21741	175
496	21779	131
497	21816	87
498	21854	43
499	21900	0
