iter	RMSE
223	0.1525300863
224	0.1523071042
225	0.152071352
226	0.15077894
227	0.1495876202
228	0.1486658884
229	0.1473819291
230	0.1468252786
231	0.1456728837
232	0.1453858757
233	0.144960278
234	0.1442675929
235	0.1431462482
236	0.142977824
237	0.1422154972
238	0.1412247415
239	0.1407607418
240	0.1398524373
241	0.1389120468
242	0.1381830824
243	0.1378828522
244	0.1368221629
245	0.1363972297
246	0.1351717497
247	0.1342305481
248	0.1338694506
249	0.1332299965
250	0.1329356102
251	0.1321694854
252	0.1313011549
253	0.1303489574
254	0.1294279826
255	0.1287666364
256	0.1282354801
257	0.1273378352
258	0.1269492127
259	0.1265183844
260	0.1262902108
261	0.1251559698
262	0.1240100978
263	0.1232659414
264	0.1230462637
265	0.1222475606
266	0.1215678191
267	0.1213794662
268	0.120765187
269	0.1203443045
270	0.1199262356
271	0.1196973172
272	0.1186260671
273	0.1181503307
274	0.1177440229
275	0.1172227773
276	0.1164522167
277	0.1162153511
278	0.1154235191
279	0.1151997164
280	0.1147302911
281	0.1142918498
282	0.114072416
283	0.113095619
284	0.1128330866
285	0.1124034033
286	0.112190666
287	0.1119906711
288	0.1113280509
289	0.1110765111
290	0.1107725791
291	0.1102318191
292	0.1092979124
293	0.1087410168
294	0.1081611315
295	0.1074174229
296	0.1072793391
297	0.1071096834
298	0.1063280042
299	0.1062328136
300	0.1061033425
301	0.1057408587
302	0.1052964839
303	0.1048093573
304	0.1044414609
305	0.1043229616
306	0.1041043525
307	0.1039080963
308	0.1036152058
309	0.1034578519
310	0.1028260971
311	0.1023404818
312	0.1020351387
313	0.1015543961
314	0.1009098517
315	0.1004330834
316	0.09993013736
317	0.0993905023
318	0.09926533047
319	0.09898980206
320	0.09850922309
321	0.09830485427
322	0.09806850219
323	0.09772547578
324	0.09737016489
325	0.09698774486
326	0.09689731671
327	0.09638516442
328	0.09564171686
329	0.09539813329
330	0.09487025266
331	0.09437129849
332	0.09370515191
333	0.09329014614
334	0.0929255707
335	0.0927356624
336	0.09206116316
337	0.09156220294
338	0.09140660492
339	0.09131353797
340	0.09083658559
341	0.09027359967
342	0.08985621062
343	0.08966541269
344	0.08945236052
345	0.08887291022
346	0.08877855485
347	0.0886444449
348	0.08824008781
349	0.08813769988
350	0.08749485974
351	0.08738747113
352	0.08716030787
353	0.08699994631
354	0.08692507576
355	0.08635276905
356	0.08622711599
357	0.08568818046
358	0.0852509429
359	0.08515916455
360	0.08510739432
361	0.08461096947
362	0.08438420493
363	0.08377413879
364	0.08347414953
365	0.08318358166
366	0.08242331918
367	0.08203940317
368	0.08156075137
369	0.08142493934
370	0.08121572
371	0.0811454339
372	0.08065977688
373	0.08054295642
374	0.08015162493
375	0.07996486568
376	0.07977543467
377	0.07954583182
378	0.07916616313
379	0.07910433339
380	0.07883071618
381	0.07846375551
382	0.07820759641
383	0.07767265645
384	0.07758078151
385	0.07726432722
386	0.07720891067
387	0.07714077944
388	0.07698738127
389	0.07675596045
390	0.07641599109
391	0.07634861299
392	0.07556053109
393	0.07548092276
394	0.07511571264
395	0.0747686018
396	0.0746229207
397	0.0743408497
398	0.07412802933
399	0.07369864588
400	0.07334881928
401	0.07313061772
402	0.07283926199
403	0.07233918254
404	0.07225757786
405	0.07192794133
406	0.07177631096
407	0.07172528584
408	0.07159119325
409	0.07122325279
410	0.07118137798
411	0.07090892023
412	0.07052775171
413	0.07010565469
414	0.07006853642
415	0.06983281142
416	0.06953984868
417	0.06919911008
418	0.06913826066
419	0.06909257937
420	0.06876158704
421	0.06863954642
422	0.06838433653
423	0.06828915549
424	0.06794900434
425	0.06785153106
426	0.0677147914
427	0.06748592385
428	0.06737104178
429	0.06709271893
430	0.06668091324
431	0.06637657924
432	0.06635449721
433	0.06620660858
434	0.06604763239
435	0.06562345504
436	0.06549543217
437	0.06546830354
438	0.06516686515
439	0.06503203784
440	0.06468764142
441	0.06462799626
442	0.06451078628
443	0.0641259994
444	0.06409247598
445	0.0636981778
446	0.06367015923
447	0.06341356223
448	0.06325423686
449	0.06296859287
450	0.06265666186
451	0.0626119955
452	0.06226532665
453	0.06210141301
454	0.06179032973
455	0.06159351466
456	0.06139904883
457	0.06100906144
458	0.06092491026
459	0.06088818599
460	0.06063019378
461	0.06055626688
462	0.06036584368
463	0.05996530387
464	0.05966173423
465	0.05944625489
466	0.05924118204
467	0.05904056254
468	0.0588751641
469	0.05883788098
470	0.05853130014
471	0.05848049808
472	0.05811796094
473	0.05791901035
474	0.05765397211
475	0.05757865672
476	0.05737240111
477	0.05735120612
478	0.0571646009
479	0.05700615912
480	0.05694001896
481	0.05689950828
482	0.05661275397
483	0.05652776312
484	0.05619659144
485	0.05616164331
486	0.05591180449
487	0.05570020363
488	0.05564126894
489	0.05561594765
490	0.05537673981
491	0.05513896596
492	0.05474718141
493	0.05434891112
494	0.05430355461
495	0.05427298931
496	0.05416362271
497	0.05410209682
498	0.05384516991
499	0.05370053174
